name,12/31/2025,12/31/2024,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011
"Total Liabilities Net Minority Interest","39,997,000,000","38,962,000,000","40,617,000,000","41,643,000,000","43,942,000,000","49,587,000,000","49,701,000,000","51,683,000,000","54,016,000,000","62,906,000,000","56,737,000,000","18,582,000,000","17,961,000,000","19,607,000,000","4,951,000,000"
"	Current Liabilities","8,778,000,000","7,253,000,000","8,037,000,000","9,028,000,000","9,064,000,000","8,061,000,000","7,875,000,000","7,503,000,000","10,154,000,000","9,501,000,000","6,932,000,000","4,773,000,000","3,410,000,000","3,606,000,000","2,572,000,000"
"		Payables And Accrued Expenses","5,407,000,000","5,148,000,000","5,618,000,000","5,861,000,000","6,366,000,000","5,722,000,000","5,034,000,000","5,283,000,000","5,470,000,000","5,415,000,000","5,280,000,000","2,372,000,000","2,546,000,000","2,592,000,000","2,022,000,000"
"			Payables","4,308,000,000","4,188,000,000","4,627,000,000","4,848,000,000","5,294,000,000","4,418,000,000","4,003,000,000","4,153,000,000","4,362,000,000","4,251,000,000","4,023,000,000","1,861,000,000","1,861,000,000","1,852,000,000","1,447,000,000"
"				Accounts Payable","4,308,000,000","4,188,000,000","4,627,000,000","4,848,000,000","4,753,000,000","4,304,000,000","4,003,000,000","4,153,000,000","4,362,000,000","3,996,000,000","2,844,000,000","1,537,000,000","1,548,000,000","1,556,000,000","1,447,000,000"
"				Total Tax Payable",,,,"136,000,000","541,000,000","114,000,000",,,"152,000,000","255,000,000","417,000,000",,,,
"					Income Tax Payable",,,,"136,000,000","541,000,000","114,000,000",,,"152,000,000","255,000,000","417,000,000",,,,
"				Dividends Payable",,,,,,,,,,"39,000,000","762,000,000","324,000,000","313,000,000","296,000,000","0"
"			Current Accrued Expenses","1,099,000,000","960,000,000","991,000,000","1,013,000,000","1,072,000,000","1,304,000,000","1,031,000,000","1,130,000,000","1,108,000,000","1,164,000,000","1,257,000,000","511,000,000","685,000,000","740,000,000","575,000,000"
"				Interest Payable","298,000,000","263,000,000","258,000,000","264,000,000","268,000,000","358,000,000","384,000,000","408,000,000","419,000,000","415,000,000","401,000,000",,,,
"		Pension & Other Post Retirement Benefit Plans Current",,,,,,,,,"51,000,000","157,000,000","328,000,000","355,000,000","381,000,000","430,000,000","242,000,000"
"		Current Debt And Capital Lease Obligation","1,908,000,000","654,000,000","638,000,000","837,000,000","754,000,000","236,000,000","1,028,000,000","398,000,000","3,195,000,000","2,691,000,000","83,000,000","1,405,000,000","4,000,000","5,000,000","8,000,000"
"			Current Debt","1,908,000,000","654,000,000","638,000,000","837,000,000","754,000,000","236,000,000","1,028,000,000","398,000,000","3,195,000,000","2,691,000,000","83,000,000","1,405,000,000","4,000,000","5,000,000","8,000,000"
"		Other Current Liabilities","1,463,000,000","1,451,000,000","1,781,000,000","2,330,000,000","1,944,000,000","2,103,000,000","1,813,000,000","1,822,000,000","1,489,000,000","1,238,000,000","1,241,000,000","641,000,000","479,000,000","584,000,000","300,000,000"
"	Total Non Current Liabilities Net Minority Interest","31,219,000,000","31,709,000,000","32,580,000,000","32,615,000,000","34,878,000,000","41,526,000,000","41,826,000,000","44,180,000,000","43,862,000,000","53,405,000,000","49,805,000,000","13,809,000,000","14,551,000,000","16,001,000,000","2,379,000,000"
"		Long Term Debt And Capital Lease Obligation","19,311,000,000","19,215,000,000","19,394,000,000","19,233,000,000","21,061,000,000","28,070,000,000","28,216,000,000","30,770,000,000","28,308,000,000","29,713,000,000","25,151,000,000","8,627,000,000","9,976,000,000","9,966,000,000","27,000,000"
"			Long Term Debt","19,311,000,000","19,215,000,000","19,394,000,000","19,233,000,000","21,061,000,000","28,070,000,000","28,216,000,000","30,770,000,000","28,308,000,000","29,713,000,000","25,151,000,000","8,627,000,000","9,976,000,000","9,966,000,000","27,000,000"
"		Non Current Deferred Liabilities","10,343,000,000","11,053,000,000","11,625,000,000","11,629,000,000","12,070,000,000","11,468,000,000","11,878,000,000","12,202,000,000","14,039,000,000","20,848,000,000","21,497,000,000","340,000,000","662,000,000","138,000,000","1,594,000,000"
